Branch,College_Tier,Attendance,CGPA,Backlogs,Coding_Skills,DSA_Score,Aptitude_Score,Communication_Score,Internships_Count,Projects_Count,Certifications_Count,Mock_Interview_Score,Placement_Probability,Placement_Status
AIML,Tier 1,64,8.87,2,40,91,62,88,3,4,0,47,76.24,Placed
MECH,Tier 1,97,8.43,5,40,78,68,84,1,4,4,75,34.18,Not Placed
MECH,Tier 1,100,8.29,2,96,92,73,40,0,4,6,64,70.38,Placed
MECH,Tier 1,73,7.09,5,81,83,72,49,0,7,2,83,23.43,Not Placed
AIML,Tier 3,98,9.29,1,93,93,80,86,0,1,8,99,90.16,Placed
ECE,Tier 3,84,7.62,0,81,57,80,98,0,7,7,86,75.16,Placed
MECH,Tier 2,79,9.91,0,60,42,62,98,1,1,2,79,87.21,Placed
EEE,Tier 3,61,8.35,4,54,46,46,71,0,7,4,46,29.83,Not Placed
AIML,Tier 3,98,6.07,5,56,82,42,78,2,2,6,85,6.42,Not Placed
AIML,Tier 2,65,8.54,2,61,57,97,99,2,4,3,62,76.46,Placed
ECE,Tier 3,76,6.96,0,77,83,71,61,0,1,4,58,47.37,Not Placed
AIML,Tier 1,84,8.59,0,74,77,70,57,2,7,2,85,87.17,Placed
AIML,Tier 1,87,5.81,3,84,76,57,87,3,2,8,61,19.63,Not Placed
MECH,Tier 2,61,6.29,3,55,97,82,85,1,7,9,52,29.92,Not Placed
ECE,Tier 2,94,9.35,0,47,72,46,71,0,6,8,100,80.79,Placed
MECH,Tier 2,96,6.52,5,86,83,80,66,0,2,6,60,14.79,Not Placed
MECH,Tier 1,64,9.27,4,56,98,40,67,1,4,9,40,59.94,Not Placed
ECE,Tier 3,60,6.76,0,56,70,100,57,2,3,1,98,51.12,Not Placed
CSE,Tier 1,99,8.39,1,93,97,53,98,1,4,6,58,84.49,Placed
MECH,Tier 2,71,8.62,2,65,50,91,78,1,3,6,100,67.35,Placed
EEE,Tier 3,95,7.81,4,52,43,71,88,2,2,4,99,26.79,Not Placed
EEE,Tier 3,82,6.87,1,56,98,45,68,1,6,8,72,41.11,Not Placed
AIML,Tier 1,90,6.46,4,77,57,78,57,2,6,2,43,20.16,Not Placed
EEE,Tier 2,70,5.65,1,56,43,49,83,2,1,3,81,10.54,Not Placed
AIML,Tier 1,69,6.87,2,87,88,46,47,1,6,0,42,38.61,Not Placed
CSE,Tier 3,62,8.44,2,53,73,65,93,3,5,5,66,72.34,Placed
ECE,Tier 1,73,9.72,3,84,68,73,70,2,2,3,91,83.76,Placed
ECE,Tier 1,75,9.42,5,45,63,69,73,1,1,0,80,43.45,Not Placed
ECE,Tier 2,69,8.95,1,74,61,75,46,2,6,1,74,82.78,Placed
EEE,Tier 2,88,9.05,3,85,41,60,75,3,2,2,67,69.15,Placed
CSE,Tier 3,69,8.49,1,53,83,99,57,3,4,8,45,81.8,Placed
EEE,Tier 1,71,6.67,3,86,45,56,99,0,6,7,45,24.49,Not Placed
EEE,Tier 1,89,9.58,2,47,81,72,77,2,7,6,94,86.6,Placed
CSE,Tier 1,100,8.52,4,100,64,49,98,2,3,3,96,63.2,Placed
CSE,Tier 3,60,8.02,3,54,94,90,48,1,2,0,83,47.79,Not Placed
CSE,Tier 3,64,6.0,1,93,96,86,98,2,1,7,62,50.5,Not Placed
CSE,Tier 2,79,7.51,1,100,60,81,48,0,4,3,72,59.44,Not Placed
ECE,Tier 2,67,7.57,5,66,94,90,85,3,5,2,55,49.04,Not Placed
IT,Tier 2,71,9.39,2,52,98,51,47,3,4,8,63,80.33,Placed
IT,Tier 1,60,7.96,1,88,55,95,90,0,6,9,44,76.61,Placed
CSE,Tier 1,79,7.21,0,70,70,55,74,2,3,3,80,55.78,Not Placed
IT,Tier 2,87,9.9,4,92,53,80,57,2,4,3,81,82.48,Placed
IT,Tier 1,96,6.0,3,95,78,71,44,0,5,8,52,18.6,Not Placed
CSE,Tier 2,96,7.4,5,74,67,54,53,1,7,1,86,21.97,Not Placed
IT,Tier 3,71,5.69,4,99,71,66,67,3,1,4,51,14.27,Not Placed
EEE,Tier 2,96,8.83,2,45,67,67,69,0,2,3,44,53.82,Not Placed
AIML,Tier 3,87,9.63,5,44,90,56,43,0,3,8,76,45.51,Not Placed
AIML,Tier 1,74,6.76,3,61,94,85,78,2,5,4,70,39.71,Not Placed
CSE,Tier 2,65,9.36,3,97,88,98,59,3,6,8,67,92.61,Placed
ECE,Tier 1,79,6.81,0,88,48,89,64,2,6,8,67,62.61,Placed
CSE,Tier 3,73,9.6,2,62,97,97,67,0,6,1,69,89.52,Placed
ECE,Tier 3,61,8.89,5,64,84,41,51,1,3,8,57,37.93,Not Placed
AIML,Tier 3,68,9.12,5,73,61,75,41,3,4,2,83,57.93,Not Placed
CSE,Tier 1,96,5.58,1,65,71,89,82,0,3,3,66,20.23,Not Placed
MECH,Tier 1,79,9.83,0,86,44,46,53,0,6,0,74,87.94,Placed
EEE,Tier 1,85,8.77,0,44,62,52,61,1,7,0,65,73.49,Placed
IT,Tier 1,88,6.87,5,65,44,54,70,0,5,0,96,8.8,Not Placed
ECE,Tier 3,60,9.23,5,59,81,64,62,0,2,8,78,44.99,Not Placed
MECH,Tier 3,94,6.77,4,45,92,62,87,3,2,7,88,20.91,Not Placed
IT,Tier 2,65,9.43,4,45,71,99,59,3,3,4,90,71.84,Placed
IT,Tier 2,96,6.01,4,98,98,61,100,3,6,4,99,35.98,Not Placed
CSE,Tier 1,64,8.67,0,89,49,65,77,2,1,8,57,81.55,Placed
IT,Tier 3,92,7.93,1,57,98,72,94,1,7,2,72,76.46,Placed
EEE,Tier 3,73,5.93,3,43,78,50,43,3,3,2,64,8.8,Not Placed
MECH,Tier 3,71,6.59,4,56,97,49,54,2,6,6,95,18.17,Not Placed
IT,Tier 2,79,5.56,1,96,54,64,63,2,4,8,70,24.26,Not Placed
CSE,Tier 2,83,7.61,2,53,46,76,64,1,2,5,76,31.97,Not Placed
EEE,Tier 3,93,6.86,4,53,68,87,40,1,2,1,98,13.77,Not Placed
AIML,Tier 3,84,8.19,3,52,98,82,46,0,7,0,99,55.06,Not Placed
MECH,Tier 3,88,6.84,2,46,86,92,96,2,2,1,41,40.61,Not Placed
IT,Tier 2,98,6.85,2,83,42,77,70,3,1,0,72,34.84,Not Placed
CSE,Tier 3,90,8.84,3,94,58,80,51,1,6,9,78,73.98,Placed
AIML,Tier 3,82,5.72,4,54,49,84,81,2,6,9,100,9.97,Not Placed
AIML,Tier 1,97,9.56,0,58,67,63,44,3,7,8,82,90.91,Placed
ECE,Tier 1,79,9.34,3,82,68,79,83,2,6,9,82,85.9,Placed
EEE,Tier 2,82,8.51,3,86,54,85,89,1,7,7,71,74.06,Placed
IT,Tier 3,75,8.17,3,83,74,95,81,0,6,6,57,68.44,Placed
CSE,Tier 3,67,9.52,2,74,45,72,77,2,1,2,56,78.85,Placed
ECE,Tier 1,80,6.33,1,56,51,56,99,3,5,7,73,32.06,Not Placed
EEE,Tier 2,60,5.86,0,74,86,63,51,1,3,1,78,29.23,Not Placed
ECE,Tier 1,67,6.58,4,58,77,76,78,0,3,1,46,14.48,Not Placed
MECH,Tier 1,88,9.08,4,59,52,96,57,3,6,9,81,69.77,Placed
EEE,Tier 1,91,5.66,1,75,68,41,41,3,4,2,93,17.74,Not Placed
EEE,Tier 1,97,8.12,3,74,58,71,49,3,2,6,92,49.56,Not Placed
IT,Tier 3,64,9.98,0,71,42,96,54,2,1,0,74,91.58,Placed
EEE,Tier 3,81,9.35,4,97,47,99,69,1,4,7,69,78.07,Placed
ECE,Tier 1,93,7.85,5,87,47,63,83,3,4,6,51,38.22,Not Placed
EEE,Tier 2,60,5.79,4,83,94,48,97,2,6,3,74,19.57,Not Placed
IT,Tier 2,85,9.24,3,79,97,43,56,1,1,4,50,68.53,Placed
IT,Tier 2,69,8.2,5,63,59,56,43,1,3,9,100,21.82,Not Placed
MECH,Tier 2,89,6.02,1,100,86,56,46,2,2,0,83,33.25,Not Placed
ECE,Tier 1,77,5.92,0,100,43,92,80,2,3,3,96,45.82,Not Placed
AIML,Tier 3,76,9.59,1,56,90,89,70,3,4,0,43,92.69,Placed
AIML,Tier 2,85,8.51,1,46,60,87,90,1,2,0,64,67.71,Placed
EEE,Tier 1,67,9.23,0,82,42,69,99,0,5,9,87,87.89,Placed
MECH,Tier 2,99,9.46,0,89,84,79,98,2,4,0,71,96.02,Placed
CSE,Tier 2,71,8.07,4,40,47,97,94,1,3,6,59,34.37,Not Placed
EEE,Tier 1,86,7.83,4,74,62,50,78,1,3,6,89,30.71,Not Placed
MECH,Tier 3,67,7.44,0,71,55,60,94,3,6,3,70,71.07,Placed
ECE,Tier 3,84,6.93,5,75,52,60,73,0,3,1,43,11.02,Not Placed
ECE,Tier 1,63,7.46,2,52,42,57,45,3,1,2,93,25.11,Not Placed
ECE,Tier 3,92,8.98,4,45,87,94,89,0,4,7,77,63.0,Placed
ECE,Tier 1,60,8.21,2,97,48,68,77,0,7,7,92,68.17,Placed
ECE,Tier 1,78,9.52,5,53,99,63,84,2,7,5,86,74.77,Placed
MECH,Tier 1,90,7.5,0,76,53,49,97,1,2,9,40,55.68,Not Placed
MECH,Tier 3,75,8.23,5,87,52,84,90,1,3,8,42,45.09,Not Placed
IT,Tier 1,73,8.34,4,54,92,56,73,1,6,8,76,48.41,Not Placed
AIML,Tier 2,64,8.16,1,86,96,57,83,0,6,3,61,78.57,Placed
ECE,Tier 3,100,8.66,0,43,46,81,54,1,3,0,56,66.43,Placed
CSE,Tier 3,85,6.57,3,79,54,87,53,2,1,0,53,21.54,Not Placed
MECH,Tier 3,87,7.81,2,98,46,59,45,0,6,9,80,48.93,Not Placed
CSE,Tier 3,61,5.97,5,55,77,76,89,0,7,4,74,9.6,Not Placed
CSE,Tier 2,65,7.23,0,67,73,84,76,0,2,1,97,54.96,Not Placed
CSE,Tier 3,68,7.69,5,55,80,57,89,0,4,5,52,22.11,Not Placed
IT,Tier 3,92,8.44,0,43,61,56,71,2,5,6,74,70.04,Placed
MECH,Tier 1,100,9.78,4,84,63,48,42,1,1,0,82,62.22,Placed
CSE,Tier 3,84,8.2,4,65,88,53,42,2,6,5,41,45.61,Not Placed
ECE,Tier 2,72,8.85,4,67,76,88,61,1,4,7,95,62.52,Placed
EEE,Tier 2,68,7.78,5,71,83,68,61,2,5,4,86,36.37,Not Placed
CSE,Tier 2,72,8.35,3,84,40,70,49,3,3,6,52,54.65,Not Placed
IT,Tier 2,90,5.82,4,41,49,43,90,3,3,9,90,5.44,Not Placed
MECH,Tier 3,100,6.64,0,70,82,57,42,3,2,5,93,43.76,Not Placed
IT,Tier 3,70,7.13,4,42,55,98,100,3,5,3,55,32.42,Not Placed
CSE,Tier 2,63,7.63,1,93,85,59,51,0,3,6,57,58.54,Not Placed
MECH,Tier 2,93,5.71,4,47,47,95,68,0,3,9,46,5.19,Not Placed
EEE,Tier 3,97,6.13,5,63,95,95,87,2,7,8,84,23.2,Not Placed
CSE,Tier 2,63,6.75,3,54,88,86,56,2,6,9,75,33.07,Not Placed
IT,Tier 1,97,9.87,1,82,64,82,46,3,2,9,80,91.89,Placed
AIML,Tier 2,78,6.99,5,70,89,83,52,1,4,6,69,21.47,Not Placed
ECE,Tier 2,65,7.67,5,48,51,48,95,3,3,4,81,19.77,Not Placed
IT,Tier 1,93,6.38,5,78,64,52,41,2,7,6,80,11.44,Not Placed
MECH,Tier 1,77,8.25,0,84,56,54,43,3,1,2,46,70.82,Placed
CSE,Tier 3,72,6.76,5,41,99,66,49,2,1,1,54,10.27,Not Placed
ECE,Tier 3,100,6.43,0,47,65,54,78,3,4,4,99,35.6,Not Placed
CSE,Tier 1,82,7.82,5,46,85,67,63,1,5,3,79,25.35,Not Placed
MECH,Tier 1,78,5.52,2,95,87,76,56,3,2,4,58,26.55,Not Placed
CSE,Tier 3,70,5.53,1,83,53,94,91,1,7,7,82,33.16,Not Placed
AIML,Tier 2,60,6.49,2,90,80,58,45,1,6,3,76,33.25,Not Placed
ECE,Tier 1,83,5.67,5,78,75,65,58,2,7,8,41,10.0,Not Placed
ECE,Tier 3,66,5.99,1,81,96,91,44,1,1,6,81,32.24,Not Placed
MECH,Tier 2,84,7.02,1,100,62,65,71,0,1,9,87,43.55,Not Placed
AIML,Tier 1,80,9.11,3,96,82,64,49,0,4,6,94,74.14,Placed
IT,Tier 2,74,8.07,2,55,45,65,48,0,5,7,52,36.85,Not Placed
CSE,Tier 3,60,7.81,3,74,86,65,66,2,5,5,79,55.58,Not Placed
EEE,Tier 1,71,6.82,1,69,44,85,52,0,4,7,80,30.45,Not Placed
CSE,Tier 2,66,9.69,0,49,82,67,58,2,7,2,82,92.05,Placed
CSE,Tier 1,74,7.29,1,77,64,88,60,2,1,9,82,53.41,Not Placed
IT,Tier 2,80,5.89,3,57,57,57,63,0,7,9,94,9.0,Not Placed
CSE,Tier 3,78,8.28,2,89,52,71,77,1,7,0,97,71.92,Placed
AIML,Tier 3,88,6.01,5,44,82,92,43,3,2,5,70,8.09,Not Placed
AIML,Tier 1,84,7.05,5,92,53,42,63,2,1,0,55,13.77,Not Placed
ECE,Tier 2,92,7.78,2,68,67,41,98,0,5,8,81,45.71,Not Placed
MECH,Tier 1,91,9.43,5,78,57,72,74,2,6,1,100,70.04,Placed
EEE,Tier 1,94,7.72,5,99,98,81,42,1,7,1,95,51.22,Not Placed
CSE,Tier 2,97,8.66,3,73,99,58,43,1,1,6,83,57.42,Not Placed
CSE,Tier 2,85,9.97,2,82,96,56,96,0,7,1,96,93.0,Placed
IT,Tier 2,70,6.09,4,84,67,83,76,2,2,9,45,17.43,Not Placed
MECH,Tier 3,94,6.74,0,62,90,72,79,3,3,7,67,59.34,Not Placed
AIML,Tier 1,67,7.28,0,44,95,51,87,3,1,5,71,55.68,Not Placed
EEE,Tier 1,73,7.4,5,69,66,88,93,2,4,6,83,33.44,Not Placed
ECE,Tier 3,69,7.35,0,45,71,95,74,2,3,6,49,60.94,Placed
AIML,Tier 2,61,9.58,2,95,86,42,70,2,7,5,89,90.84,Placed
MECH,Tier 3,68,8.71,2,97,48,82,95,0,4,9,57,77.78,Placed
ECE,Tier 3,62,8.24,1,100,79,88,83,1,4,8,43,85.5,Placed
IT,Tier 3,80,6.89,1,85,71,94,64,3,4,8,48,63.39,Placed
IT,Tier 1,85,9.21,0,83,59,65,79,0,1,6,46,83.82,Placed
CSE,Tier 3,67,9.8,4,43,67,74,52,2,5,8,89,68.8,Placed
MECH,Tier 1,61,9.2,1,68,72,47,43,2,7,9,47,82.11,Placed
EEE,Tier 1,65,5.51,1,62,43,91,85,1,3,2,82,16.61,Not Placed
ECE,Tier 1,87,8.36,2,45,85,75,53,2,2,2,46,57.11,Not Placed
AIML,Tier 2,88,5.73,4,71,96,92,52,0,5,0,80,13.24,Not Placed
MECH,Tier 1,85,6.66,5,81,73,93,66,0,7,4,79,22.04,Not Placed
MECH,Tier 1,84,5.77,0,57,87,46,45,1,1,3,42,15.98,Not Placed
IT,Tier 2,71,8.22,1,54,42,85,56,0,4,1,56,52.47,Not Placed
CSE,Tier 1,64,8.59,4,79,65,85,75,3,2,8,41,64.64,Placed
CSE,Tier 3,93,6.02,4,97,47,75,79,0,7,2,54,16.27,Not Placed
ECE,Tier 3,96,7.23,0,71,45,55,88,0,3,7,85,43.45,Not Placed
IT,Tier 1,74,7.55,4,48,55,63,74,0,7,5,68,21.89,Not Placed
MECH,Tier 2,95,7.16,4,76,63,100,56,3,5,4,89,40.51,Not Placed
EEE,Tier 3,74,6.04,4,49,87,93,80,2,6,0,87,19.18,Not Placed
IT,Tier 2,82,7.39,1,59,78,40,41,0,5,3,91,33.99,Not Placed
ECE,Tier 2,65,8.88,0,45,69,88,96,1,7,2,61,87.62,Placed
ECE,Tier 3,80,5.82,4,87,84,64,52,3,2,0,43,14.33,Not Placed
IT,Tier 2,82,5.86,4,95,52,49,91,1,7,4,96,14.17,Not Placed
ECE,Tier 3,75,7.1,1,98,44,93,41,0,7,5,91,53.72,Not Placed
IT,Tier 2,74,9.74,0,42,64,55,91,1,1,1,45,83.3,Placed
AIML,Tier 3,84,8.51,2,81,59,55,67,0,3,2,77,57.52,Not Placed
IT,Tier 1,95,8.55,1,50,93,97,82,3,2,5,65,83.82,Placed
IT,Tier 3,70,7.13,0,82,57,47,98,1,7,3,50,61.53,Placed
ECE,Tier 3,74,8.17,4,56,86,68,65,1,4,8,65,41.82,Not Placed
ECE,Tier 3,63,5.55,0,71,57,78,61,0,3,4,56,18.98,Not Placed
CSE,Tier 3,80,8.36,0,43,41,67,86,0,5,3,63,61.34,Placed
CSE,Tier 2,72,9.61,5,43,49,45,82,2,2,1,67,42.84,Not Placed
AIML,Tier 1,81,8.26,0,56,94,55,94,0,5,5,74,76.39,Placed
CSE,Tier 3,78,9.43,2,80,84,59,42,0,7,9,70,82.36,Placed
IT,Tier 2,93,8.76,0,58,89,55,74,2,5,1,52,84.92,Placed
ECE,Tier 1,73,6.04,2,44,86,46,99,0,5,6,93,15.27,Not Placed
CSE,Tier 1,63,9.56,4,71,51,80,97,0,1,2,74,65.49,Placed
CSE,Tier 1,86,5.8,2,61,86,53,51,2,5,8,55,16.67,Not Placed
AIML,Tier 1,88,7.9,4,95,52,82,63,3,4,4,54,54.03,Not Placed
MECH,Tier 3,87,6.14,4,45,89,65,44,3,4,7,82,11.44,Not Placed
AIML,Tier 3,94,5.55,2,74,86,65,59,0,3,5,57,13.19,Not Placed
IT,Tier 2,67,7.4,1,61,96,53,78,0,7,9,86,55.99,Not Placed
ECE,Tier 2,75,6.83,3,40,94,46,78,2,6,7,76,24.72,Not Placed
AIML,Tier 2,95,7.69,0,59,50,72,52,2,5,2,87,59.74,Not Placed
CSE,Tier 1,89,8.1,5,61,58,65,80,3,5,2,87,38.12,Not Placed
ECE,Tier 1,77,5.7,3,87,74,96,96,1,2,4,88,22.32,Not Placed
ECE,Tier 3,61,6.05,0,94,78,84,92,0,1,9,80,44.48,Not Placed
CSE,Tier 1,72,8.01,0,50,92,59,84,1,6,2,66,74.22,Placed
AIML,Tier 1,63,7.04,4,52,65,42,51,1,3,7,94,10.66,Not Placed
CSE,Tier 1,85,8.78,0,98,85,91,52,2,6,9,74,93.77,Placed
MECH,Tier 2,84,8.44,5,81,53,43,95,0,5,7,91,35.89,Not Placed
ECE,Tier 2,89,9.31,0,42,93,100,49,0,2,1,84,85.08,Placed
EEE,Tier 3,70,8.62,2,48,84,65,72,2,7,3,93,72.92,Placed
EEE,Tier 1,66,7.43,3,99,83,50,96,1,1,9,74,46.23,Not Placed
IT,Tier 1,90,8.53,2,51,63,41,79,2,7,0,67,61.34,Placed
CSE,Tier 3,69,6.74,5,62,80,53,93,3,3,3,78,17.74,Not Placed
CSE,Tier 1,98,6.88,0,53,40,83,55,0,6,3,100,35.6,Not Placed
IT,Tier 1,72,9.05,5,72,90,69,84,3,3,9,77,69.15,Placed
IT,Tier 2,90,7.51,4,57,82,88,74,2,5,8,48,41.62,Not Placed
IT,Tier 3,66,9.09,2,88,94,51,42,0,3,2,51,74.69,Placed
ECE,Tier 3,95,9.2,2,98,61,65,95,3,7,1,54,91.51,Placed
MECH,Tier 3,79,9.36,1,80,62,83,44,3,2,8,60,87.44,Placed
CSE,Tier 3,63,9.62,0,48,95,72,65,1,3,8,91,89.63,Placed
ECE,Tier 2,66,7.44,4,62,93,52,50,0,4,0,74,22.4,Not Placed
IT,Tier 2,60,6.93,2,49,58,53,46,3,2,5,81,20.71,Not Placed
CSE,Tier 1,72,8.12,2,58,57,63,92,3,6,9,72,65.21,Placed
ECE,Tier 1,81,7.17,4,100,51,73,95,1,1,7,90,30.89,Not Placed
MECH,Tier 1,80,8.2,5,86,94,83,49,3,1,2,58,52.47,Not Placed
ECE,Tier 1,81,8.68,5,44,67,65,81,3,5,8,94,45.92,Not Placed
MECH,Tier 2,87,8.6,0,86,67,60,91,3,5,1,62,89.63,Placed
IT,Tier 3,68,7.19,1,91,99,67,73,1,4,5,52,65.77,Placed
MECH,Tier 2,85,6.25,2,62,98,87,42,3,6,0,83,38.52,Not Placed
CSE,Tier 1,68,7.44,1,69,72,75,47,3,7,6,40,65.11,Placed
IT,Tier 2,74,6.14,5,64,58,79,70,0,1,2,90,5.68,Not Placed
CSE,Tier 3,69,9.51,5,67,67,41,50,0,1,6,68,38.22,Not Placed
EEE,Tier 3,83,7.06,3,73,98,81,84,1,1,3,63,39.71,Not Placed
AIML,Tier 2,67,6.2,0,84,91,48,46,2,7,8,55,47.48,Not Placed
MECH,Tier 2,83,5.61,3,95,100,62,84,0,1,4,64,16.27,Not Placed
AIML,Tier 2,75,8.41,3,87,88,54,41,1,3,2,94,57.11,Not Placed
AIML,Tier 1,85,8.37,3,86,76,52,45,3,6,7,62,66.33,Placed
MECH,Tier 2,86,7.03,0,64,65,62,80,3,2,5,67,53.51,Not Placed
IT,Tier 2,96,5.82,0,49,74,56,71,1,2,1,86,18.41,Not Placed
EEE,Tier 2,63,7.34,4,53,73,87,59,3,4,2,55,32.88,Not Placed
CSE,Tier 3,83,6.9,1,81,74,99,96,3,3,7,82,68.44,Placed
ECE,Tier 3,78,8.55,1,96,79,41,73,2,1,9,95,77.06,Placed
CSE,Tier 1,95,8.23,4,85,55,59,89,3,1,6,77,49.66,Not Placed
ECE,Tier 1,98,7.14,4,97,77,59,55,0,5,9,50,28.97,Not Placed
CSE,Tier 3,69,6.48,5,69,52,98,64,3,5,5,42,18.29,Not Placed
MECH,Tier 3,84,9.95,3,94,62,85,51,1,4,0,54,87.17,Placed
EEE,Tier 3,77,7.54,4,80,99,42,46,2,1,8,40,29.75,Not Placed
ECE,Tier 2,78,8.6,2,64,93,94,78,3,4,2,46,84.32,Placed
